id,name,address,lat,lon,location,people,table,outlet,meeting_room,smoking_room,meeting,time,url
51,팬도로시 ,서울특별시 종로구 성균관로 25-2 팬도로시 성균관대점,37.5870381,126.9950803,교내 카페,2,3,2,0,0,0,월09:00~17:00 화09:00~17:00 수09:00~17:00 목09:00~17:00 금09:00~17:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
52,명륜다락방 ,서울 종로구 명륜1가 70-1,37.5870788,126.9966831,교외 카페,2,2,2,0,0,0,월08:00~20:00 화08:00~20:00 수08:00~20:00 목08:00~20:00 금08:00~20:00 토08:00~20:00 일08:00~20:00,https://place.map.kakao.com/922831043
53,진주리 ,서울 종로구 성균관로7길 3,37.5866188,126.9963043,교외 카페,2,2,2,0,0,0,월11:30~19:00 화11:30~19:00 수11:30~19:00 목11:30~19:00 금11:30~19:00 토11:30~19:00 일11:30~19:00,https://place.map.kakao.com/1054975307
54,델라 ,서울 종로구 성균관로 30 1~2층,37.5853778,126.9971192,교외 카페,2,1,2,0,0,0,월08:30~23:00 화08:30~23:00 수08:30~23:00 목08:30~23:00 금08:30~23:00 토08:30~23:00 일08:30~23:00,https://place.map.kakao.com/1111332307
55,카페김쌤 ,서울 종로구 성균관로 28,37.5851582,126.997258,교외 카페,2,2,2,1,0,0,월09:00~22:00 화09:00~22:00 수09:00~22:00 목09:00~22:00 금09:00~22:00 토09:00~22:00 일09:00~22:00,https://place.map.kakao.com/141038388
56,이공오도씨 ,서울 종로구 성균관로4길 5 1층,37.5845802,126.9977424,교외 카페,2,3,2,0,0,0,월운영종료 화10:00~22:00 수10:00~22:00 목10:00~22:00 금10:00~22:00 토10:00~22:00 일10:00~22:00,https://place.map.kakao.com/161235351
57,할리스 성균관대점,서울 종로구 성균관로 6 1~4층,37.583509,126.9983919,교외 카페,2,1,2,0,0,1,월09:00~26:00 화09:00~26:00 수09:00~26:00 목09:00~26:00 금09:00~26:00 토09:00~26:00 일09:00~26:00,https://place.map.kakao.com/1379136660
58,이디야커피 성균관대점,서울 종로구 성균관로 8 1층,37.5836183,126.9983225,교외 카페,2,2,2,0,0,1,월11:00~22:00 화11:00~22:00 수11:00~22:00 목11:00~22:00 금11:00~22:00 토11:00~22:00 일11:00~22:00,https://place.map.kakao.com/478710507
59,낫컴플리트,서울 종로구 성균관로 12-5 1~2층,37.584176,126.9980977,교외 카페,2,4,2,1,0,1,월12:00~21:00 화12:00~21:00 수12:00~21:00 목12:00~21:00 금12:00~21:00 토12:00~21:00 일운영종료,https://place.map.kakao.com/2015397398
60,슬로우스테이다,서울 종로구 성균관로5길 55-3 1층,37.5854901,126.9947513,교외 카페,2,1,2,0,0,0,월10:00~22:00 화10:00~22:00 수10:00~22:00 목10:00~22:00 금10:00~22:00 토10:00~22:00 일운영종료,https://place.map.kakao.com/1152120521
61,그림의맛,서울 종로구 성균관로3길 9 1~2층,37.5834851,126.9975895,교외 카페,2,2,2,0,0,1,월12:00~21:00 화12:00~21:00 수12:00~21:00 목운영종료 금운영종료 토12:00~21:00 일12:00~21:00,https://place.map.kakao.com/27287579
62,스타벅스 성대입구점,서울 종로구 창경궁로 235 1~2층,37.5829246,126.9982254,교외 카페,2,2,2,0,0,1,월07:30~20:00 화07:30~21:00 수07:30~21:00 목07:30~21:00 금07:30~21:00 토07:30~21:00 일07:30~21:00,https://place.map.kakao.com/7961756
63,탐앤탐스 성대입구점,서울 종로구 창경궁로 231-2 1~2층,37.58271,126.9980947,교외 카페,2,2,2,1,1,1,월07:00~26:30 화07:00~26:30 수07:00~26:30 목07:00~26:30 금07:00~26:30 토07:00~26:30 일07:00~26:30,https://place.map.kakao.com/13057465
64,킹스커피 대학로점,서울 종로구 대명길 46 2~3층,37.5829341,126.9990257,교외 카페,2,2,1,0,1,1,월00:00~24:00 화00:00~24:00 수00:00~24:00 목00:00~24:00 금00:00~24:00 토00:00~24:00 일00:00~24:00,https://place.map.kakao.com/1014575631
65,이디야커피 혜화역점,서울 종로구 창경궁로 258-15 1층,37.5835658,127.0006307,교외 카페,2,2,2,0,0,0,월09:00~21:30 화09:00~21:30 수09:00~21:30 목09:00~21:30 금09:00~21:30 토09:00~21:30 일09:00~21:30,https://place.map.kakao.com/24879325
66,커피빈 혜화역점,서울 종로구 대명길 5 1~3층,37.5834855,127.001148,교외 카페,2,2,2,0,0,1,월08:00~23:00 화08:00~23:00 수08:00~23:00 목08:00~23:00 금08:00~23:00 토08:00~23:00 일08:00~23:00,https://place.map.kakao.com/1213931154
67,할리스 대명거리점,서울 종로구 대명길 6 2~4층,37.5837402,127.0011129,교외 카페,1,2,2,0,0,1,월10:00~23:00 화10:00~23:00 수10:00~23:00 목10:00~23:00 금10:00~23:00 토10:00~23:00 일10:00~22:30,https://place.map.kakao.com/26436425
68,공차 대학로점,서울 종로구 대명길 4 2~3층,37.5837402,127.0011129,교외 카페,2,2,2,0,0,1,월09:00~21:30 화09:00~21:30 수09:00~21:30 목09:00~21:30 금09:00~21:30 토10:00~21:30 일10:00~21:30,https://place.map.kakao.com/21161316
69,프롬하츠커피 대학로점,서울 종로구 대학로 127,37.5825432,127.0014901,교외 카페,2,2,2,0,0,1,월10:00~23:00 화10:00~23:00 수10:00~23:00 목10:00~23:00 금10:00~23:00 토10:00~22:00 일10:00~22:00,https://place.map.kakao.com/1351801875
70,스타벅스 동숭길입구점,서울 종로구 대학로 146 혜화동씨티밸리 101호,37.5842128,127.0020237,교외 카페,2,2,2,0,0,1,월07:30~22:00 화07:30~22:00 수07:30~22:00 목07:30~22:00 금07:30~22:00 토09:00~22:00 일09:00~22:00,https://place.map.kakao.com/91432713
71,스타벅스 혜화역점,서울 종로구 대학로 12길 4 1~2층,37.5824779,127.002185,교외 카페,2,2,2,0,0,1,월08:00~22:00 화08:00~22:00 수08:00~22:00 목08:00~22:00 금08:00~22:00 토09:00~22:00 일09:00~22:00,https://place.map.kakao.com/1033782082
